Date,ID_Produit,Quantite_Vendue
2024-01-15,P001,2
2024-01-15,P002,5
2024-01-15,P003,3
2024-01-15,P004,1
2024-01-15,P005,4
2024-01-15,P006,2
2024-01-15,P007,8
2024-01-15,P008,1
2024-01-15,P009,3
2024-01-15,P010,1
2024-01-16,P001,1
2024-01-16,P002,7
2024-01-16,P003,2
2024-01-16,P004,2
2024-01-16,P005,6
2024-01-16,P006,3
2024-01-16,P007,10
2024-01-16,P008,0
2024-01-16,P009,4
2024-01-16,P010,2
2024-01-17,P011,3
2024-01-17,P012,15
2024-01-17,P013,8
2024-01-17,P014,5
2024-01-17,P015,4
2024-01-17,P016,1
2024-01-17,P017,25
2024-01-17,P018,2
2024-01-17,P019,6
2024-01-17,P020,3
2024-01-18,P021,1
2024-01-18,P022,4
2024-01-18,P023,7
2024-01-18,P024,1
2024-01-18,P025,2
2024-01-18,P026,5
2024-01-18,P027,3
2024-01-18,P028,4
2024-01-18,P029,2
2024-01-18,P030,3
2024-01-19,P031,8
2024-01-19,P032,6
2024-01-19,P033,1
2024-01-19,P034,5
2024-01-19,P035,4
2024-01-19,P036,12
2024-01-19,P037,15
2024-01-19,P038,7
2024-01-19,P039,4
2024-01-19,P040,1
2024-01-20,P041,2
2024-01-20,P042,6
2024-01-20,P043,3
2024-01-20,P044,1
2024-01-20,P045,2
2024-01-20,P046,4
2024-01-20,P047,2
2024-01-20,P048,10
2024-01-20,P049,1
2024-01-20,P050,1
2024-01-21,P001,3
2024-01-21,P002,6
2024-01-21,P003,4
2024-01-21,P004,2
2024-01-21,P005,5
2024-01-21,P006,3
2024-01-21,P007,9
2024-01-21,P008,1
2024-01-21,P009,4
2024-01-21,P010,2
2024-01-22,P011,2
2024-01-22,P012,12
2024-01-22,P013,10
2024-01-22,P014,6
2024-01-22,P015,5
2024-01-22,P016,2
2024-01-22,P017,30
2024-01-22,P018,3
2024-01-22,P019,7
2024-01-22,P020,4
2024-01-23,P021,0
2024-01-23,P022,5
2024-01-23,P023,8
2024-01-23,P024,1
2024-01-23,P025,3
2024-01-23,P026,6
2024-01-23,P027,4
2024-01-23,P028,5
2024-01-23,P029,3
2024-01-23,P030,4
2024-01-24,P031,10
2024-01-24,P032,7
2024-01-24,P033,2
2024-01-24,P034,6
2024-01-24,P035,5
2024-01-24,P036,15
2024-01-24,P037,18
2024-01-24,P038,8
2024-01-24,P039,5
2024-01-24,P040,2
2024-01-25,P041,3
2024-01-25,P042,8
2024-01-25,P043,4
2024-01-25,P044,1
2024-01-25,P045,3
2024-01-25,P046,5
2024-01-25,P047,3
2024-01-25,P048,12
2024-01-25,P049,2
2024-01-25,P050,1
2024-01-26,P051,6
2024-01-26,P052,2
2024-01-26,P053,4
2024-01-26,P054,7
2024-01-26,P055,9
2024-01-26,P056,3
2024-01-26,P057,1
2024-01-26,P058,2
2024-01-26,P059,5
2024-01-26,P060,4
2024-01-27,P061,1
2024-01-27,P062,8
2024-01-27,P063,2
2024-01-27,P064,10
2024-01-27,P065,3
2024-01-27,P066,5
2024-01-27,P067,15
2024-01-27,P068,7
2024-01-27,P069,1
2024-01-27,P070,6
2024-01-28,P071,8
2024-01-28,P072,2
2024-01-28,P073,3
2024-01-28,P074,12
2024-01-28,P075,7
2024-01-28,P076,4
2024-01-28,P077,3
2024-01-28,P078,1
2024-01-28,P079,4
2024-01-28,P080,9
2024-01-29,P081,1
2024-01-29,P082,5
2024-01-29,P083,6
2024-01-29,P084,11
2024-01-29,P085,1
2024-01-29,P086,8
2024-01-29,P087,10
2024-01-29,P088,1
2024-01-29,P089,14
2024-01-29,P090,4
2024-01-30,P091,8
2024-01-30,P092,3
2024-01-30,P093,5
2024-01-30,P094,4
2024-01-30,P095,2
2024-01-30,P096,6
2024-01-30,P097,1
2024-01-30,P098,4
2024-01-30,P099,5
2024-01-30,P100,9
2024-01-31,P001,4
