Date,Produit,Quantite,Prix_unitaire
2024-02-21,Cahier,7,32.82
2024-04-02,Stylo,9,6.04
2024-01-15,Souris,7,9.76
2024-03-12,Souris,1,45.13
2024-03-01,Souris,1,31.11
2024-01-21,Ecran,9,2.44
2024-03-23,Stylo,9,6.87
2024-03-27,Ecran,4,33.85
2024-03-15,Casque,9,2.24
2024-03-15,Ecran,3,9.72
2024-03-28,Stylo,7,28.34
2024-04-09,Stylo,6,35.21
2024-01-24,Casque,8,33.29
2024-01-03,Stylo,9,12.76
2024-01-22,Stylo,5,36.18
2024-02-22,Souris,1,13.39
2024-01-02,Casque,3,17.62
2024-03-28,Clavier,8,37.83
2024-01-30,Clavier,6,33.18
2024-02-07,Stylo,8,42.76
2024-01-02,Clavier,9,33.57
2024-03-04,Clavier,4,29.28
2024-02-29,Stylo,1,6.5
2024-01-21,Clavier,1,19.65
2024-02-02,Ecran,4,14.73
2024-03-16,Cahier,7,13.71
2024-02-27,Casque,2,48.7
2024-01-22,Cahier,3,20.87
2024-03-29,Stylo,1,44.82
2024-02-18,Souris,5,32.29
2024-03-31,Casque,1,40.15
2024-02-28,Stylo,8,26.13
2024-02-11,Souris,1,29.69
2024-04-01,Cahier,1,25.64
2024-02-29,Stylo,2,11.37
2024-03-20,Casque,2,36.68
2024-01-15,Casque,6,15.48
2024-03-02,Cle_USB,7,3.17
2024-03-02,Ecran,5,32.98
2024-02-16,Clavier,1,10.5
2024-03-02,Souris,1,47.14
2024-02-20,Cle_USB,3,47.79
2024-02-24,Clavier,2,45.91
2024-03-04,Clavier,5,19.77
2024-01-03,Stylo,6,2.74
2024-02-20,Clavier,7,46.56
2024-01-07,Ecran,4,22.55
2024-01-21,Casque,7,48.4
2024-03-13,Cle_USB,8,48.25
2024-02-08,Clavier,1,42.94
2024-01-18,Stylo,6,16.13
2024-01-04,Ecran,8,20.48
2024-03-29,Cahier,5,42.85
2024-02-29,Casque,4,17.21
2024-01-14,Casque,2,10.14
2024-01-09,Cle_USB,6,28.73
2024-03-30,Casque,6,46.94
2024-02-22,Clavier,1,35.41
2024-01-02,Stylo,9,29.36
2024-03-24,Casque,6,6.66
2024-04-01,Casque,3,31.52
2024-02-29,Cahier,4,49.52
2024-03-11,Cahier,4,8.72
2024-02-13,Souris,3,26.88
2024-01-08,Ecran,3,44.11
2024-02-16,Clavier,3,37.56
2024-02-04,Casque,4,35.46
2024-03-18,Casque,7,35.72
2024-03-21,Stylo,4,19.26
2024-02-05,Souris,9,16.09
2024-02-19,Ecran,1,40.85
2024-01-04,Souris,8,40.89
2024-01-02,Cle_USB,7,43.62
2024-01-06,Ecran,2,45.84
2024-02-23,Casque,8,26.54
2024-01-04,Casque,1,26.07
2024-02-23,Ecran,9,40.32
2024-04-02,Casque,9,33.2
2024-03-03,Clavier,2,35.69
2024-01-18,Ecran,7,40.2
2024-03-30,Souris,3,44.72
2024-02-13,Ecran,7,18.22
2024-02-03,Casque,9,20.03
2024-03-14,Clavier,4,6.51
2024-03-02,Clavier,1,29.76
2024-04-09,Cle_USB,2,3.73
2024-01-14,Souris,1,24.35
2024-04-04,Cahier,5,28.05
2024-02-17,Cahier,5,15.75
2024-01-15,Ecran,7,30.36
2024-03-12,Cle_USB,9,3.46
2024-03-18,Stylo,9,3.79
2024-03-27,Ecran,3,41.48
2024-03-02,Cle_USB,3,19.29
2024-02-09,Souris,3,8.1
2024-03-25,Souris,4,27.07
2024-03-20,Souris,8,38.96
2024-03-22,Souris,6,12.36
2024-02-22,Souris,8,31.9
2024-01-24,Cle_USB,1,6.1
